,name,length,Left extract,long/short name,CONCATENATE,Upper case name,Lower case,Proper function,avg_rating,corrected rating,New corrected reationg,review in K,reviews_count,and,or,company_type,,Head_Quarters,,Company_Age,COMPANY DETAIL,No_of_Employee
0,TCS,3,TCS,short name,TCS Is great,TCS,tcs,Tcs,3.9,3.9,3.9,31.6k,31600,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 217 more",TRUE,55,Establish,1 Lakh+ employees India)
1,Accenture,9,Acc,short name,Accenture Is great,ACCENTURE,accenture,Accenture,4,4,4,22.4k,22400,FALSE,FALSE,Public,Not Top ,"Dublin,Dublin + 124 more",FALSE,33,Establish,1 Lakh+ employees India)
2,Cognizant,9,Cog,short name,Cognizant Is great,COGNIZANT,cognizant,Cognizant,3.9,3.9,3.9,20.5k,20500,FALSE,FALSE,Private,Not Top ,"Teaneck,New Jersey + 78 more",FALSE,28,Establish,1 Lakh+ employees India)
3,ICICI Bank,10,ICI,short name,ICICI Bank Is great,ICICI BANK,icici bank,Icici Bank,4,4,4,26.7k,26700,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 924 more",TRUE,28,Establish,50k-1 Lakh employees India)
4,HDFC Bank,9,HDF,short name,HDFC Bank Is great,HDFC BANK,hdfc bank,Hdfc Bank,4,4,4,28.1k,28100,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 1006 more",TRUE,28,Establish,1 Lakh+ employees India)
5,Wipro,5,Wip,short name,Wipro Is great,WIPRO,wipro,Wipro,3.9,3.9,3.9,19.0k,19000,FALSE,FALSE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 233 more",TRUE,77,Establish,1 Lakh+ employees India)
6,Capgemini,9,Cap,short name,Capgemini Is great,CAPGEMINI,capgemini,Capgemini,3.8,3.8,3.8,15.6k,15600,FALSE,FALSE,Public,Not Top ,Paris + 63 more,FALSE,55,Establish,1 Lakh+ employees India)
7,HCL Technologies,16,HCL,longname,HCL Technologies Is great,HCL TECHNOLOGIES,hcl technologies,Hcl Technologies,3.8,3.8,3.8,16.0k,16000,FALSE,FALSE,Public,Not Top ,"Noida,Uttar Pradesh + 144 more",FALSE,46,Establish,1 Lakh+ employees India)
8,Infosys,7,Inf,short name,Infosys Is great,INFOSYS,infosys,Infosys,3.9,3.9,3.9,19.7k,19700,FALSE,FALSE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 109 more",TRUE,41,Establish,1 Lakh+ employees India)
9,Tech Mahindra,13,Tec,longname,Tech Mahindra Is great,TECH MAHINDRA,tech mahindra,Tech Mahindra,3.7,3.7,3.7,15.5k,15500,FALSE,FALSE,Public,Not Top ,"Pune,Maharashtra + 162 more",FALSE,36,Establish,50k-1 Lakh employees India)
10,Genpact,7,Gen,short name,Genpact Is great,GENPACT,genpact,Genpact,4,4,4,14.7k,14700,FALSE,FALSE,Private,Not Top ,"New York,New York + 51 more",FALSE,25,Establish,50k-1 Lakh employees India)
11,Axis Bank,9,Axi,short name,Axis Bank Is great,AXIS BANK,axis bank,Axis Bank,3.8,3.8,3.8,14.7k,14700,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 911 more",TRUE,29,Establish,50k-1 Lakh employees India)
